번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
960,1515.60.0000,비휘발 미생물성 지방과 기름 및 이들의 분획물,Fixed microbial fats and oils and their fractions,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
961,1515.90.1000,들기름과 그 분획물,Perilla oil and its fractions,미양허,미양허,미양허,18,미양허,0,0,0,0,11.2,36,36,10,18,36,0,미양허,미양허,미양허,18,미양허,0,0,미양허,36,18,36,36,미양허,미양허,36,미양허,28.8
962,1515.90.9010,쌀겨기름과 그 분획물,Rice bran oil and its fractions,0,0,미양허(IS 6.4),5,미양허,0,0,0,0,0,NS,0,1,0,0,1.6,1.6,2,1.6,1.6,2.5,0,0,0,1,1.4,2.5,2.5,2.5,2.5,2.5,3.7,4
963,1515.90.9020,동백유와 그 분획물,Camellia oil and its fractions,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,6.4
964,1515.90.9030,호호바유와 그 분획물,Jojoba oil and its fractions,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,0,0,4,4,4,4,4,0,6.4
965,1515.90.9040,동유와 그 분획물,Tung oil and its fractions,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,6.4
966,1515.90.9090,기타 비휘발성 식물성유지,Other fixed vegetable fats and oils,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
967,1516.10.1000,우지와 그 분획물,Beef tallow and its fractions,0,0,4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,0,0,4,4,0,0,0
968,1516.10.9000,기타 동물성 유지와 그 분획물,Other animal fats and oils and their fractions,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,2.6,3.3,2.6,2.6,4,0,0,0,1.6,0,4,4,4,4,4,0,0
969,1516.20.1010,땅콩기름과 그 분획물,Peanut oil and its fraction,미양허,미양허,미양허,5,미양허,0,0,0,0,11.2,36,0,4.8,5,14.4,7.2,미양허,미양허,미양허,미양허,미양허,0,0,1,36,1.4,24,24,미양허,24,24,4.3,0
